"latitud","longitud"
-37.86,-53.99
-37.96,-54.09
-39.6,-56.57
-37.86,-54.01
-37.86,-54.03
-37.86,-54.09
-37.87,-53.97
-37.85,-53.98
-37.87,-53.92
-37.87,-53.88
-37.87,-53.87
-39.99,-56.61
-37.86,-53.97
-37.87,-53.95
-37.86,-53.85
-37.86,-53.89
-37.84,-53.92
-39.8,-57.26
-37.86,-53.83
-37.85,-53.81
-37.86,-53.87
-37.85,-54
-39.93,-57.42
-37.87,-53.92
-37.87,-53.94
-37.87,-53.9
-39.89,-57.36
-39.9,-57.47
-39.9,-57.34
-39.33,-56.38
-38.92,-56.09
-38.12,-56.78
-38.09,-56.84
-38.42,-57.3
-38.56,-57.6
-38.56,-57.61
-38.65,-58.22
-38.73,-58.02
-38.58,-57.74
-39.98,-55.12
-39.98,-54.88
-39.93,-54.87
-39.92,-54.87
-39.49,-54.72
-39.5,-54.68
-39.42,-54.78
-39.41,-54.8
-39.52,-54.66
-37.87,-53.9
-37.88,-53.94
-37.87,-53.84
-37.87,-53.86
-37.94,-54.09
-37.94,-54.05
-37.94,-54.17
-37.95,-54.14
-36.74,-53.34
-36.69,-53.37
-36.64,-53.37
-39.98,-55.96
-39.97,-55.97
-39.95,-55.95
-39.98,-55.97
-39.95,-55.94
-39.92,-55.91
-39.89,-55.89
-36.55,-52.96
-36.6,-52.98
-36.39,-52.86
-36.31,-52.78
-37.21,-53.45
-37.19,-53.58
-37.21,-53.47
-37.2,-53.61
-37.2,-53.58
-37.22,-53.43
-37.2,-53.49
-37.14,-53.55
-37.21,-53.56
-37.22,-53.41
-37.22,-53.4
-37.2,-53.59
-37.18,-53.56
-37.21,-53.45
-37.19,-53.63
-37.19,-53.65
-37.9,-54.19
-37.22,-53.45
-37.21,-53.47
-37.88,-54
-38.01,-54.09
-37.88,-54.06
-37.89,-53.9
-37.91,-54.18
-38.01,-54.11
-37.88,-54.06
-37.9,-53.89
-38.01,-54.12
-37.88,-54.08
-37.89,-53.92
-38.01,-54.1
-38.01,-54.08
-37.87,-54.06
-37.89,-53.83
-37.88,-54
-37.63,-53.68
-37.6,-53.6
-37.63,-53.68
-37.62,-53.7
-37.89,-53.84
-37.89,-53.87
-36.54,-52.97
-36.54,-52.99
-36.39,-52.86
-36.55,-52.97
-36.39,-52.96
-36.31,-52.79
-36.39,-52.85
-36.36,-52.75
-36.32,-52.79
-36.85,-53.34
-37.01,-53.36
-37.03,-53.33
-37.08,-53.37
-39.16,-54.33
-39.39,-54.51
-39.38,-54.63
-39.37,-54.63
-39.39,-54.51
-39.39,-54.51
-39.4,-54.81
-39.37,-54.82
-39.24,-54.97
-39.19,-55
-38.01,-54.11
-37.87,-54.06
-37.9,-54.18
-37.89,-53.95
-39.86,-54.89
-39.82,-54.86
-39.83,-54.94
-39.86,-55.04
-39.86,-55.07
-37.87,-54.06
-37.63,-53.68
-37.62,-53.7
-37.56,-53.61
-37.63,-53.68
-37.14,-53.6
-37.16,-53.44
-37.14,-53.59
-37.14,-53.57
-37.14,-53.53
-37.25,-53.42
-37.19,-53.43
-37.95,-54.08
-37.97,-54.1
-37.98,-54.02
-37.95,-55.07
-37.88,-54.12
-37.83,-54
-37.88,-54.13
-37.85,-54.02
-37.83,-54.08
-37.93,-54.08
-37.9,-54.25
-37.9,-54.25
-37.8,-54.22
-37.8,-54.17
-37.82,-54.22
-37.8,-54.18
-37.62,-53.7
